season,round,race_name,session_type,session_name,session_id,driver_id,driver_code,driver_name,position,laps_completed,fastest_lap_rank,fastest_lap_time,average_lap_time,top_speed,session_timestamp,session_timezone,round_id,constructor_id,constructor_name,session_type_metadata
2025,4,Bahrain Grand Prix,FP1,Practice One,session_NpNz3cLL,driver_yNfRW5Lg,,Andrea Kimi Antonelli,20,3,20.0,,,,2025-04-11T11:30:00Z,Asia/Bahrain,round_Ps0NYVtI,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_q7WdJenu,,Pierre Gasly,1,25,1.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_BOyYHlVE,,Lando Norris,2,25,2.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_pAXWnsA8,,Charles Leclerc,3,28,3.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_1V17qcph,,Oscar Piastri,4,25,4.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_0Z9Cjb1U,,Alexander Albon,5,23,5.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_dPPwWNxA,,George Russell,6,21,6.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_nPms5pYt,,Carlos Sainz,7,26,7.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_cAPSXDn9,,Lewis Hamilton,8,27,8.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_VkTWWTC5,,Max Verstappen,9,26,9.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_aEOevTUh,,Yuki Tsunoda,10,26,10.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_uLDLxCqO,,Liam Lawson,11,19,11.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_gADFaAX1,,Nico Hülkenberg,12,25,12.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_yNfRW5Lg,,Andrea Kimi Antonelli,13,24,13.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_WqMAI78W,,Fernando Alonso,14,24,14.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_ZiErQgDm,,Isack Hadjar,15,15,15.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_g0a6B2Hm,,Jack Doohan,16,25,16.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_XkmSOlgX,,Lance Stroll,17,23,17.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_19q67raM,,Oliver Bearman,18,21,18.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_0GFvbLMc,,Esteban Ocon,19,21,19.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,5,Saudi Arabian Grand Prix,FP1,Practice One,session_3zjl4YsZ,driver_d1a4FipV,,Gabriel Bortoleto,20,23,20.0,,,,2025-04-18T13:30:00Z,Asia/Riyadh,round_aMsooP3B,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_1V17qcph,,Oscar Piastri,1,22,1.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_pAXWnsA8,,Charles Leclerc,2,22,2.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_VkTWWTC5,,Max Verstappen,3,20,3.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_nPms5pYt,,Carlos Sainz,4,23,4.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_0Z9Cjb1U,,Alexander Albon,5,25,5.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_ZiErQgDm,,Isack Hadjar,6,23,6.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_dPPwWNxA,,George Russell,7,26,7.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_aEOevTUh,,Yuki Tsunoda,8,21,8.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_yNfRW5Lg,,Andrea Kimi Antonelli,9,28,9.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_WqMAI78W,,Fernando Alonso,10,24,10.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_uLDLxCqO,,Liam Lawson,11,21,11.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_BOyYHlVE,,Lando Norris,12,21,12.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_cAPSXDn9,,Lewis Hamilton,13,20,13.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_gADFaAX1,,Nico Hülkenberg,14,13,14.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_d1a4FipV,,Gabriel Bortoleto,15,19,15.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_19q67raM,,Oliver Bearman,16,22,16.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_q7WdJenu,,Pierre Gasly,17,22,17.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_0GFvbLMc,,Esteban Ocon,18,19,18.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_g0a6B2Hm,,Jack Doohan,19,22,19.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,6,Miami Grand Prix,FP1,Practice One,session_2R5BbCUB,driver_XkmSOlgX,,Lance Stroll,20,21,20.0,,,,2025-05-02T16:30:00Z,America/New_York,round_BlTmWZnZ,,,FP1
2025,7,Emilia Romagna Grand Prix,FP1,Practice One,session_O3wIskxV,driver_1V17qcph,,Oscar Piastri,1,23,1.0,,,,2025-05-16T11:30:00Z,Europe/Rome,round_1cGKl3n5,,,FP1
2025,7,Emilia Romagna Grand Prix,FP1,Practice One,session_O3wIskxV,driver_BOyYHlVE,,Lando Norris,2,23,2.0,,,,2025-05-16T11:30:00Z,Europe/Rome,round_1cGKl3n5,,,FP1
